language,outcome,model,jurisdiction,estimate,conf_low,conf_high,n_blocks,n_issues,estimate_pp,conf_low_pp,conf_high_pp,evidence_status
ar,capability_failure,glm-4.7-flash,CN,0.004407051282051282,5.909455128205133e-4,0.008814102564102564,2496,624,0.4407051282051282,0.059094551282051336,0.8814102564102564,exploratory model heterogeneity
ar,capability_failure,hunyuan-a13b,CN,-0.16346153846153846,-0.18108974358974358,-0.14661458333333335,2496,624,-16.346153846153847,-18.108974358974358,-14.661458333333336,exploratory model heterogeneity
ar,capability_failure,qwen3-max,CN,-0.0673076923076923,-0.08373397435897435,-0.051682692307692304,2496,624,-6.730769230769231,-8.373397435897436,-5.168269230769231,exploratory model heterogeneity
ar,capability_failure,allam-7b,MENA,0.16025641025641027,0.13217147435897436,0.18811097756410255,2496,624,16.025641025641026,13.217147435897436,18.811097756410255,exploratory model heterogeneity
ar,capability_failure,falcon3-10b,MENA,0.8233173076923077,0.8072916666666666,0.8391526442307693,2496,624,82.33173076923077,80.72916666666666,83.91526442307693,exploratory model heterogeneity
ar,capability_failure,jais-8b,MENA,-0.003605769230769231,-0.01201923076923077,0.004407051282051282,2496,624,-0.3605769230769231,-1.201923076923077,0.4407051282051282,exploratory model heterogeneity
ar,capability_failure,sarvam-30b,India,0.851089588377724,0.8382436663332558,0.8652545066488007,2478,624,85.10895883777239,83.82436663332558,86.52545066488007,exploratory model heterogeneity
ar,capability_failure,claude-opus-4.5,US,8.012820512820513e-4,-8.012820512820513e-4,0.003014823717948709,2496,624,0.08012820512820512,-0.08012820512820512,0.3014823717948709,exploratory model heterogeneity
ar,capability_failure,gemini-2.5-flash-lite,US,-8.012820512820513e-4,-0.0028044871794871795,0.0016025641025641025,2496,624,-0.08012820512820512,-0.28044871794871795,0.16025641025641024,exploratory model heterogeneity
ar,capability_failure,gpt-4o,US,-4.008016032064128e-4,-0.0028050773020399772,0.0020044298701653506,2495,624,-0.04008016032064128,-0.2805077302039977,0.20044298701653507,exploratory model heterogeneity
ar,capability_failure,gpt-5.1,US,0.0016025641025641025,-0.00040064102564102563,0.004407051282051282,2496,624,0.16025641025641024,-0.04006410256410256,0.4407051282051282,exploratory model heterogeneity
ar,capability_failure,grok-4.3,US,0.036458333333333336,0.02863581730769231,0.04487179487179487,2496,624,3.6458333333333335,2.863581730769231,4.487179487179487,exploratory model heterogeneity
ar,capability_failure,llama-4-scout,US,0.004006410256410256,8.012820512820513e-4,0.008413461538461538,2496,624,0.4006410256410256,0.08012820512820512,0.8413461538461539,exploratory model heterogeneity
ar,capability_failure,nova-lite,US,0.028846153846153848,0.020833333333333332,0.03827123397435896,2496,624,2.8846153846153846,2.083333333333333,3.8271233974358965,exploratory model heterogeneity
ar,capability_failure,ministral-14b,EU,0.005208333333333333,0.002003205128205128,0.008413461538461538,2496,624,0.5208333333333333,0.2003205128205128,0.8413461538461539,exploratory model heterogeneity
