estimand_family,quantity,jurisdiction,stratum,stratum_value,home_status,weighting,n,n_issues,n_models,refusals_strict,refusals_any,rate_strict,rate_any,estimate,conf_low,conf_high,estimate_pp,conf_low_pp,conf_high_pp,estimable,note,replicate_failure_rate,n_home,n_away,outcome,estimand_label,causal_interpretation,general_handling,uncertainty,bootstrap_unit
A_descriptive,cell_rate,CN,language,ar,away,response,3328,416,2,165,193,0.04957932692307692,0.057992788461538464,0.04957932692307692,NA,NA,4.957932692307692,NA,NA,TRUE,,NA,NA,NA,refused_strict (engagement_code >= 4),observed refusal rate in cell,"none: descriptive difference in observed rates; not adjusted, not standardized",General reported as its own row; never part of the away reference,none (exact count),NA
A_descriptive,cell_rate,CN,language,ar,general,response,832,104,2,21,24,0.025240384615384616,0.028846153846153848,0.025240384615384616,NA,NA,2.5240384615384617,NA,NA,TRUE,,NA,NA,NA,refused_strict (engagement_code >= 4),observed refusal rate in cell,"none: descriptive difference in observed rates; not adjusted, not standardized",General reported as its own row; never part of the away reference,none (exact count),NA
A_descriptive,cell_rate,CN,language,ar,home,response,832,104,2,108,110,0.12980769230769232,0.13221153846153846,0.12980769230769232,NA,NA,12.980769230769232,NA,NA,TRUE,,NA,NA,NA,refused_strict (engagement_code >= 4),observed refusal rate in cell,"none: descriptive difference in observed rates; not adjusted, not standardized",General reported as its own row; never part of the away reference,none (exact count),NA
A_descriptive,cell_rate,CN,language,en,away,response,3328,416,2,119,143,0.035757211538461536,0.04296875,0.035757211538461536,NA,NA,3.5757211538461537,NA,NA,TRUE,,NA,NA,NA,refused_strict (engagement_code >= 4),observed refusal rate in cell,"none: descriptive difference in observed rates; not adjusted, not standardized",General reported as its own row; never part of the away reference,none (exact count),NA
A_descriptive,cell_rate,CN,language,en,general,response,832,104,2,26,28,0.03125,0.03365384615384615,0.03125,NA,NA,3.125,NA,NA,TRUE,,NA,NA,NA,refused_strict (engagement_code >= 4),observed refusal rate in cell,"none: descriptive difference in observed rates; not adjusted, not standardized",General reported as its own row; never part of the away reference,none (exact count),NA
A_descriptive,cell_rate,CN,language,en,home,response,832,104,2,163,175,0.19591346153846154,0.21033653846153846,0.19591346153846154,NA,NA,19.591346153846153,NA,NA,TRUE,,NA,NA,NA,refused_strict (engagement_code >= 4),observed refusal rate in cell,"none: descriptive difference in observed rates; not adjusted, not standardized",General reported as its own row; never part of the away reference,none (exact count),NA
A_descriptive,cell_rate,CN,language,hi,away,response,3325,416,2,110,134,0.03308270676691729,0.04030075187969925,0.03308270676691729,NA,NA,3.308270676691729,NA,NA,TRUE,,NA,NA,NA,refused_strict (engagement_code >= 4),observed refusal rate in cell,"none: descriptive difference in observed rates; not adjusted, not standardized",General reported as its own row; never part of the away reference,none (exact count),NA
A_descriptive,cell_rate,CN,language,hi,general,response,832,104,2,9,11,0.010817307692307692,0.013221153846153846,0.010817307692307692,NA,NA,1.0817307692307692,NA,NA,TRUE,,NA,NA,NA,refused_strict (engagement_code >= 4),observed refusal rate in cell,"none: descriptive difference in observed rates; not adjusted, not standardized",General reported as its own row; never part of the away reference,none (exact count),NA
A_descriptive,cell_rate,CN,language,hi,home,response,832,104,2,92,98,0.11057692307692307,0.11778846153846154,0.11057692307692307,NA,NA,11.057692307692307,NA,NA,TRUE,,NA,NA,NA,refused_strict (engagement_code >= 4),observed refusal rate in cell,"none: descriptive difference in observed rates; not adjusted, not standardized",General reported as its own row; never part of the away reference,none (exact count),NA
A_descriptive,cell_rate,CN,language,ru,away,response,3328,416,2,138,159,0.04146634615384615,0.047776442307692304,0.04146634615384615,NA,NA,4.146634615384615,NA,NA,TRUE,,NA,NA,NA,refused_strict (engagement_code >= 4),observed refusal rate in cell,"none: descriptive difference in observed rates; not adjusted, not standardized",General reported as its own row; never part of the away reference,none (exact count),NA
