model_f,language_f,prompt_category,foundation_f,n,activation_rate
GPT-5.1,English,territorial_sovereignty,Liberty/Oppression,13,0.9230769230769231
GPT-5.1,Chinese,civil_rights_liberties,Liberty/Oppression,32,0.5625
GPT-5.1,Chinese,economic_policy,Liberty/Oppression,4,1
GPT-5.1,Chinese,environment_energy,Liberty/Oppression,4,0
GPT-5.1,Chinese,governance_democracy,Liberty/Oppression,24,0.7083333333333334
GPT-5.1,Chinese,migration_nationalism,Liberty/Oppression,16,0.8125
GPT-5.1,Chinese,religion_state,Liberty/Oppression,4,1
GPT-5.1,Chinese,security_conflict,Liberty/Oppression,48,0.27083333333333337
GPT-5.1,Chinese,social_moral,Liberty/Oppression,7,1
GPT-5.1,Chinese,territorial_sovereignty,Liberty/Oppression,15,0.9333333333333333
GPT-5.1,Japanese,civil_rights_liberties,Liberty/Oppression,32,0.625
GPT-5.1,Japanese,economic_policy,Liberty/Oppression,4,0.75
GPT-5.1,Japanese,environment_energy,Liberty/Oppression,4,0.25
GPT-5.1,Japanese,governance_democracy,Liberty/Oppression,22,0.5909090909090909
GPT-5.1,Japanese,migration_nationalism,Liberty/Oppression,16,0.6875
GPT-5.1,Japanese,religion_state,Liberty/Oppression,4,1
GPT-5.1,Japanese,security_conflict,Liberty/Oppression,48,0.22916666666666669
GPT-5.1,Japanese,social_moral,Liberty/Oppression,8,0.875
GPT-5.1,Japanese,territorial_sovereignty,Liberty/Oppression,15,0.9333333333333333
GPT-5.1,Indonesian,civil_rights_liberties,Liberty/Oppression,32,0.6875
GPT-5.1,Indonesian,economic_policy,Liberty/Oppression,4,0.5
GPT-5.1,Indonesian,environment_energy,Liberty/Oppression,4,0.5
GPT-5.1,Indonesian,governance_democracy,Liberty/Oppression,24,0.5833333333333333
GPT-5.1,Indonesian,migration_nationalism,Liberty/Oppression,16,0.6875
GPT-5.1,Indonesian,religion_state,Liberty/Oppression,4,1
GPT-5.1,Indonesian,security_conflict,Liberty/Oppression,49,0.3469387755102041
GPT-5.1,Indonesian,social_moral,Liberty/Oppression,8,0.75
GPT-5.1,Indonesian,territorial_sovereignty,Liberty/Oppression,13,0.8461538461538461
GPT-5.1,Arabic,civil_rights_liberties,Liberty/Oppression,32,0.5625
GPT-5.1,Arabic,economic_policy,Liberty/Oppression,4,0.75
GPT-5.1,Arabic,environment_energy,Liberty/Oppression,4,0
GPT-5.1,Arabic,governance_democracy,Liberty/Oppression,22,0.6363636363636364
GPT-5.1,Arabic,migration_nationalism,Liberty/Oppression,15,0.7333333333333334
GPT-5.1,Arabic,religion_state,Liberty/Oppression,4,0.75
GPT-5.1,Arabic,security_conflict,Liberty/Oppression,48,0.3125
GPT-5.1,Arabic,social_moral,Liberty/Oppression,8,0.75
GPT-5.1,Arabic,territorial_sovereignty,Liberty/Oppression,14,1
Claude Opus 4.5,English,civil_rights_liberties,Care/Harm,32,0.34375
Claude Opus 4.5,English,economic_policy,Care/Harm,4,1
Claude Opus 4.5,English,environment_energy,Care/Harm,4,1
Claude Opus 4.5,English,governance_democracy,Care/Harm,21,0.42857142857142855
Claude Opus 4.5,English,migration_nationalism,Care/Harm,16,0.3125
Claude Opus 4.5,English,religion_state,Care/Harm,4,1
Claude Opus 4.5,English,security_conflict,Care/Harm,45,0.37777777777777777
Claude Opus 4.5,English,social_moral,Care/Harm,8,0.75
Claude Opus 4.5,English,territorial_sovereignty,Care/Harm,15,0.33333333333333337
Claude Opus 4.5,Chinese,civil_rights_liberties,Care/Harm,31,0.22580645161290322
Claude Opus 4.5,Chinese,economic_policy,Care/Harm,4,0.5
Claude Opus 4.5,Chinese,environment_energy,Care/Harm,4,1
Claude Opus 4.5,Chinese,governance_democracy,Care/Harm,22,0.40909090909090906
Claude Opus 4.5,Chinese,migration_nationalism,Care/Harm,16,0.25
Claude Opus 4.5,Chinese,religion_state,Care/Harm,4,1
Claude Opus 4.5,Chinese,security_conflict,Care/Harm,50,0.36
Claude Opus 4.5,Chinese,social_moral,Care/Harm,8,0.625
Claude Opus 4.5,Chinese,territorial_sovereignty,Care/Harm,16,0.25
Claude Opus 4.5,Japanese,civil_rights_liberties,Care/Harm,31,0.32258064516129037
Claude Opus 4.5,Japanese,economic_policy,Care/Harm,4,0.75
Claude Opus 4.5,Japanese,environment_energy,Care/Harm,4,1
Claude Opus 4.5,Japanese,governance_democracy,Care/Harm,22,0.31818181818181823
Claude Opus 4.5,Japanese,migration_nationalism,Care/Harm,15,0.33333333333333337
Claude Opus 4.5,Japanese,religion_state,Care/Harm,4,1
Claude Opus 4.5,Japanese,security_conflict,Care/Harm,48,0.5208333333333333
