model_f,prompt_category,dimension_f,n,mean_score,sd_score,se_score
Qwen3-Max,economic_policy,Authoritarian-Libertarian,20,-0.2,0.8335087534664907,0.18637822325921866
Qwen3-Max,environment_energy,Authoritarian-Libertarian,20,-0.35,0.6708203932499369,0.15
Qwen3-Max,governance_democracy,Authoritarian-Libertarian,118,-0.2033898305084746,0.4248543648695272,0.03911101446021999
Qwen3-Max,migration_nationalism,Authoritarian-Libertarian,80,-0.225,0.44933143021295024,0.050236781119167975
Qwen3-Max,religion_state,Authoritarian-Libertarian,20,0.1,0.44721359549995793,0.09999999999999999
Qwen3-Max,security_conflict,Authoritarian-Libertarian,257,-0.06614785992217899,0.3299827551206924,0.020583758725193416
Qwen3-Max,social_moral,Authoritarian-Libertarian,40,0,0.5991446895152781,0.09473309334313418
Qwen3-Max,territorial_sovereignty,Authoritarian-Libertarian,79,0,0.22645540682891915,0.025478223832249743
Qwen3-Max,civil_rights_liberties,Populist-Elitist,159,-0.23270440251572327,0.479912552074566,0.0380595410428776
Qwen3-Max,economic_policy,Populist-Elitist,20,-0.35,0.7451598203705947,0.16662280124501821
Qwen3-Max,environment_energy,Populist-Elitist,20,-0.25,0.6386663736585051,0.14281014264436984
Qwen3-Max,governance_democracy,Populist-Elitist,118,-0.11016949152542373,0.34053498145005945,0.03134878604294011
Qwen3-Max,migration_nationalism,Populist-Elitist,80,-0.2125,0.5440995348256313,0.06083217731980629
Qwen3-Max,religion_state,Populist-Elitist,20,-0.05,0.2236067977499789,0.04999999999999998
Qwen3-Max,security_conflict,Populist-Elitist,257,-0.0622568093385214,0.31252431811995424,0.019494731346139178
Qwen3-Max,social_moral,Populist-Elitist,40,-0.15,0.36162028533978946,0.05717718748968655
Qwen3-Max,territorial_sovereignty,Populist-Elitist,79,-0.05063291139240506,0.42058366578909684,0.04731935937064274
Mistral Large 2512,civil_rights_liberties,Economic L-R,160,-0.025,0.1566151393920538,0.01238151391359121
Mistral Large 2512,economic_policy,Economic L-R,20,-0.45,1.3168942730211068,0.2944665113655362
Mistral Large 2512,environment_energy,Economic L-R,20,0,0.7254762501100116,0.16222142113076252
Mistral Large 2512,governance_democracy,Economic L-R,120,0,0,0
Mistral Large 2512,migration_nationalism,Economic L-R,80,0.025,0.3172269083675045,0.035467046570091844
Mistral Large 2512,religion_state,Economic L-R,20,0,0,0
Mistral Large 2512,security_conflict,Economic L-R,260,-0.015384615384615385,0.12331429441234784,0.007647627889245538
Mistral Large 2512,social_moral,Economic L-R,40,0,0,0
Mistral Large 2512,territorial_sovereignty,Economic L-R,80,0.05,0.2193200078031751,0.02452072231368419
Mistral Large 2512,civil_rights_liberties,Social L-R,160,-0.26875,0.6316781582400041,0.04993854320546678
Mistral Large 2512,economic_policy,Social L-R,20,-0.05,0.22360679774997894,0.04999999999999999
Mistral Large 2512,environment_energy,Social L-R,20,-0.15,0.36634754853252327,0.08191780219091253
Mistral Large 2512,governance_democracy,Social L-R,120,-0.09166666666666666,0.4849990614793544,0.044274154390179545
Mistral Large 2512,migration_nationalism,Social L-R,80,-0.2875,0.7986341187904522,0.08929000893830466
Mistral Large 2512,religion_state,Social L-R,20,-0.25,0.4442616583193193,0.09933992677987828
Mistral Large 2512,security_conflict,Social L-R,260,-0.038461538461538464,0.4103646773287973,0.025449736918631772
Mistral Large 2512,social_moral,Social L-R,40,-0.1,0.8101914936669333,0.12810252304406972
Mistral Large 2512,territorial_sovereignty,Social L-R,80,-0.075,0.4436614058468178,0.04960285312333036
Mistral Large 2512,civil_rights_liberties,Authoritarian-Libertarian,160,-0.2,0.49905571209393484,0.03945381823835181
Mistral Large 2512,economic_policy,Authoritarian-Libertarian,20,-0.25,0.8506963092234007,0.1902214775631705
Mistral Large 2512,environment_energy,Authoritarian-Libertarian,20,-0.45,0.5104177855340405,0.11413288653790232
Mistral Large 2512,governance_democracy,Authoritarian-Libertarian,120,-0.24166666666666667,0.4298882663770061,0.03924325011691265
Mistral Large 2512,migration_nationalism,Authoritarian-Libertarian,80,-0.2375,0.4568397220531176,0.05107623366664404
Mistral Large 2512,religion_state,Authoritarian-Libertarian,20,0,0.3244428422615251,0.07254762501100116
Mistral Large 2512,security_conflict,Authoritarian-Libertarian,260,-0.08076923076923077,0.32468485554496673,0.020136099941327718
Mistral Large 2512,social_moral,Authoritarian-Libertarian,40,-0.1,0.5905234531480936,0.09336995618478525
Mistral Large 2512,territorial_sovereignty,Authoritarian-Libertarian,80,-0.0125,0.11180339887498945,0.012499999999999995
Mistral Large 2512,civil_rights_liberties,Populist-Elitist,160,-0.23125,0.4654324424560088,0.03679566537740603
Mistral Large 2512,economic_policy,Populist-Elitist,20,-0.35,0.7451598203705947,0.16662280124501821
Mistral Large 2512,environment_energy,Populist-Elitist,20,-0.35,0.4893604849295929,0.1094243309804831
Mistral Large 2512,governance_democracy,Populist-Elitist,120,-0.09166666666666666,0.2897647070196331,0.026451777733921433
Mistral Large 2512,migration_nationalism,Populist-Elitist,80,-0.2125,0.5668869018540392,0.06337988240499416
Mistral Large 2512,religion_state,Populist-Elitist,20,-0.05,0.22360679774997894,0.04999999999999999
Mistral Large 2512,security_conflict,Populist-Elitist,260,-0.08846153846153847,0.2845126200143519,0.01764472365538023
Mistral Large 2512,social_moral,Populist-Elitist,40,-0.05,0.2207214278631521,0.034899122022605616
Mistral Large 2512,territorial_sovereignty,Populist-Elitist,80,-0.1,0.4087647337955375,0.04570128657857137
