jurisdiction,language,home_status,n,n_issues,outcome,events,rate,estimate,estimate_pp,outcome_role,sample,canonical_run_id
MENA,ru,home,1248,104,genuine_refusal,24,0.019230769230769232,0.019230769230769232,1.9230769230769231,primary,all delivered languages; descriptive only,canon_019
MENA,ru,home,1248,104,capability_failure,947,0.7588141025641025,0.7588141025641025,75.88141025641025,diagnostic,all delivered languages; descriptive only,canon_019
MENA,zh,away,4989,416,genuine_refusal,37,0.007416315894968932,0.007416315894968932,0.7416315894968932,primary,all delivered languages; descriptive only,canon_019
MENA,zh,away,4989,416,capability_failure,2559,0.5129284425736621,0.5129284425736621,51.29284425736621,diagnostic,all delivered languages; descriptive only,canon_019
MENA,zh,general,1244,104,genuine_refusal,9,0.007234726688102894,0.007234726688102894,0.7234726688102894,primary,all delivered languages; descriptive only,canon_019
MENA,zh,general,1244,104,capability_failure,599,0.4815112540192926,0.4815112540192926,48.151125401929264,diagnostic,all delivered languages; descriptive only,canon_019
MENA,zh,home,1248,104,genuine_refusal,25,0.020032051282051284,0.020032051282051284,2.003205128205128,primary,all delivered languages; descriptive only,canon_019
MENA,zh,home,1248,104,capability_failure,629,0.5040064102564102,0.5040064102564102,50.40064102564102,diagnostic,all delivered languages; descriptive only,canon_019
US,ar,away,11648,416,genuine_refusal,395,0.033911401098901096,0.033911401098901096,3.3911401098901095,primary,all delivered languages; descriptive only,canon_019
US,ar,away,11648,416,capability_failure,160,0.013736263736263736,0.013736263736263736,1.3736263736263736,diagnostic,all delivered languages; descriptive only,canon_019
US,ar,general,2912,104,genuine_refusal,66,0.022664835164835164,0.022664835164835164,2.2664835164835164,primary,all delivered languages; descriptive only,canon_019
US,ar,general,2912,104,capability_failure,24,0.008241758241758242,0.008241758241758242,0.8241758241758242,diagnostic,all delivered languages; descriptive only,canon_019
US,ar,home,2912,104,genuine_refusal,73,0.02506868131868132,0.02506868131868132,2.506868131868132,primary,all delivered languages; descriptive only,canon_019
US,ar,home,2912,104,capability_failure,44,0.01510989010989011,0.01510989010989011,1.510989010989011,diagnostic,all delivered languages; descriptive only,canon_019
US,en,away,11647,416,genuine_refusal,269,0.023096076242809307,0.023096076242809307,2.3096076242809307,primary,all delivered languages; descriptive only,canon_019
US,en,away,11647,416,capability_failure,40,0.003434360779599897,0.003434360779599897,0.3434360779599897,diagnostic,all delivered languages; descriptive only,canon_019
US,en,general,2912,104,genuine_refusal,40,0.013736263736263736,0.013736263736263736,1.3736263736263736,primary,all delivered languages; descriptive only,canon_019
US,en,general,2912,104,capability_failure,3,0.0010302197802197802,0.0010302197802197802,0.10302197802197803,diagnostic,all delivered languages; descriptive only,canon_019
US,en,home,2912,104,genuine_refusal,36,0.012362637362637362,0.012362637362637362,1.2362637362637363,primary,all delivered languages; descriptive only,canon_019
US,en,home,2912,104,capability_failure,9,0.0030906593406593405,0.0030906593406593405,0.3090659340659341,diagnostic,all delivered languages; descriptive only,canon_019
US,hi,away,11648,416,genuine_refusal,311,0.026699862637362636,0.026699862637362636,2.6699862637362637,primary,all delivered languages; descriptive only,canon_019
US,hi,away,11648,416,capability_failure,6936,0.595467032967033,0.595467032967033,59.5467032967033,diagnostic,all delivered languages; descriptive only,canon_019
US,hi,general,2912,104,genuine_refusal,43,0.014766483516483516,0.014766483516483516,1.4766483516483515,primary,all delivered languages; descriptive only,canon_019
US,hi,general,2912,104,capability_failure,1916,0.657967032967033,0.657967032967033,65.7967032967033,diagnostic,all delivered languages; descriptive only,canon_019
US,hi,home,2911,104,genuine_refusal,70,0.02404671934043284,0.02404671934043284,2.404671934043284,primary,all delivered languages; descriptive only,canon_019
US,hi,home,2911,104,capability_failure,1803,0.6193747852971487,0.6193747852971487,61.93747852971487,diagnostic,all delivered languages; descriptive only,canon_019
US,ru,away,11648,416,genuine_refusal,255,0.021892170329670328,0.021892170329670328,2.189217032967033,primary,all delivered languages; descriptive only,canon_019
US,ru,away,11648,416,capability_failure,190,0.016311813186813188,0.016311813186813188,1.6311813186813189,diagnostic,all delivered languages; descriptive only,canon_019
US,ru,general,2912,104,genuine_refusal,54,0.018543956043956044,0.018543956043956044,1.8543956043956045,primary,all delivered languages; descriptive only,canon_019
US,ru,general,2912,104,capability_failure,35,0.01201923076923077,0.01201923076923077,1.201923076923077,diagnostic,all delivered languages; descriptive only,canon_019
US,ru,home,2912,104,genuine_refusal,47,0.016140109890109892,0.016140109890109892,1.6140109890109893,primary,all delivered languages; descriptive only,canon_019
US,ru,home,2912,104,capability_failure,67,0.02300824175824176,0.02300824175824176,2.300824175824176,diagnostic,all delivered languages; descriptive only,canon_019
US,zh,away,11648,416,genuine_refusal,232,0.019917582417582416,0.019917582417582416,1.9917582417582416,primary,all delivered languages; descriptive only,canon_019
US,zh,away,11648,416,capability_failure,169,0.014508928571428572,0.014508928571428572,1.4508928571428572,diagnostic,all delivered languages; descriptive only,canon_019
US,zh,general,2912,104,genuine_refusal,42,0.014423076923076924,0.014423076923076924,1.4423076923076923,primary,all delivered languages; descriptive only,canon_019
US,zh,general,2912,104,capability_failure,35,0.01201923076923077,0.01201923076923077,1.201923076923077,diagnostic,all delivered languages; descriptive only,canon_019
US,zh,home,2912,104,genuine_refusal,42,0.014423076923076924,0.014423076923076924,1.4423076923076923,primary,all delivered languages; descriptive only,canon_019
US,zh,home,2912,104,capability_failure,45,0.015453296703296704,0.015453296703296704,1.5453296703296704,diagnostic,all delivered languages; descriptive only,canon_019
