n,outcome,events,rate,scope,rate_pp,model,language,jurisdiction,tier,domain,region_focus,measurement,uncertainty,canonical_run_id
112230,genuine_refusal,2017,0.01797202174106745,prompt tier,1.7972021741067452,NA,NA,NA,regular,NA,NA,Luna v2.4 wall-to-wall annotation,complete realized-corpus description; no sampling CI; machine-measurement uncertainty is separate,canon_019
112230,capability_failure,25967,0.23137307315334582,prompt tier,23.13730731533458,NA,NA,NA,regular,NA,NA,Luna v2.4 wall-to-wall annotation,complete realized-corpus description; no sampling CI; machine-measurement uncertainty is separate,canon_019
112230,substantive_pivot,2175,0.01937984496124031,prompt tier,1.937984496124031,NA,NA,NA,regular,NA,NA,Luna v2.4 wall-to-wall annotation,complete realized-corpus description; no sampling CI; machine-measurement uncertainty is separate,canon_019
112314,genuine_refusal,4110,0.036593835140766064,prompt tier,3.6593835140766062,NA,NA,NA,boundary,NA,NA,Luna v2.4 wall-to-wall annotation,complete realized-corpus description; no sampling CI; machine-measurement uncertainty is separate,canon_019
112314,capability_failure,26596,0.23680039888170665,prompt tier,23.680039888170665,NA,NA,NA,boundary,NA,NA,Luna v2.4 wall-to-wall annotation,complete realized-corpus description; no sampling CI; machine-measurement uncertainty is separate,canon_019
112314,substantive_pivot,2236,0.01990847089410047,prompt tier,1.9908470894100467,NA,NA,NA,boundary,NA,NA,Luna v2.4 wall-to-wall annotation,complete realized-corpus description; no sampling CI; machine-measurement uncertainty is separate,canon_019
28789,genuine_refusal,1019,0.03539546354510403,topic domain,3.5395463545104033,NA,NA,NA,NA,civil_rights_liberties,NA,Luna v2.4 wall-to-wall annotation,complete realized-corpus description; no sampling CI; machine-measurement uncertainty is separate,canon_019
28789,capability_failure,6402,0.22237660217444163,topic domain,22.237660217444162,NA,NA,NA,NA,civil_rights_liberties,NA,Luna v2.4 wall-to-wall annotation,complete realized-corpus description; no sampling CI; machine-measurement uncertainty is separate,canon_019
28789,substantive_pivot,700,0.024314842474556255,topic domain,2.4314842474556255,NA,NA,NA,NA,civil_rights_liberties,NA,Luna v2.4 wall-to-wall annotation,complete realized-corpus description; no sampling CI; machine-measurement uncertainty is separate,canon_019
28789,genuine_refusal,194,0.006738684914377019,topic domain,0.6738684914377019,NA,NA,NA,NA,economic_policy,NA,Luna v2.4 wall-to-wall annotation,complete realized-corpus description; no sampling CI; machine-measurement uncertainty is separate,canon_019
28789,capability_failure,6772,0.23522873319670706,topic domain,23.522873319670705,NA,NA,NA,NA,economic_policy,NA,Luna v2.4 wall-to-wall annotation,complete realized-corpus description; no sampling CI; machine-measurement uncertainty is separate,canon_019
28789,substantive_pivot,232,0.00805863350585293,topic domain,0.805863350585293,NA,NA,NA,NA,economic_policy,NA,Luna v2.4 wall-to-wall annotation,complete realized-corpus description; no sampling CI; machine-measurement uncertainty is separate,canon_019
15833,genuine_refusal,83,0.005242215625592118,topic domain,0.5242215625592118,NA,NA,NA,NA,environment_energy,NA,Luna v2.4 wall-to-wall annotation,complete realized-corpus description; no sampling CI; machine-measurement uncertainty is separate,canon_019
15833,capability_failure,3669,0.2317311943409335,topic domain,23.17311943409335,NA,NA,NA,NA,environment_energy,NA,Luna v2.4 wall-to-wall annotation,complete realized-corpus description; no sampling CI; machine-measurement uncertainty is separate,canon_019
15833,substantive_pivot,67,0.004231668035116529,topic domain,0.42316680351165287,NA,NA,NA,NA,environment_energy,NA,Luna v2.4 wall-to-wall annotation,complete realized-corpus description; no sampling CI; machine-measurement uncertainty is separate,canon_019
28780,genuine_refusal,788,0.02738012508686588,topic domain,2.7380125086865883,NA,NA,NA,NA,governance_democracy,NA,Luna v2.4 wall-to-wall annotation,complete realized-corpus description; no sampling CI; machine-measurement uncertainty is separate,canon_019
28780,capability_failure,6869,0.2386726893676164,topic domain,23.86726893676164,NA,NA,NA,NA,governance_democracy,NA,Luna v2.4 wall-to-wall annotation,complete realized-corpus description; no sampling CI; machine-measurement uncertainty is separate,canon_019
28780,substantive_pivot,596,0.020708825573314802,topic domain,2.07088255733148,NA,NA,NA,NA,governance_democracy,NA,Luna v2.4 wall-to-wall annotation,complete realized-corpus description; no sampling CI; machine-measurement uncertainty is separate,canon_019
28787,genuine_refusal,449,0.015597318233925036,topic domain,1.5597318233925037,NA,NA,NA,NA,migration_nationalism,NA,Luna v2.4 wall-to-wall annotation,complete realized-corpus description; no sampling CI; machine-measurement uncertainty is separate,canon_019
